Título,Puesto,Expertise,Empresa,Modalidad,Sector,Ubicación,Descripción,Servicios,Otro Idioma,EntornoTEC,Beneficios,Habilidades,Herramientas,Educación
senior data analyst global services,Data Analyst,Senior,,,Tax,Cataluña,Sin descripción,"[' Data Management S Q L Business Intelligence Reporting Excel Data Analysis Tax Compliance Stakeholder Influence Python', "" Bachelor's Degree"", ' Excel S Q L Business Intelligence Tools']",,,,"Business Intelligence, Reporting, Data Analysis, Business Intelligence","Excel, Python, Excel",Bachelor's Degree
middle office analyst,Data Analyst,Regular,,,,Cataluña,Sin descripción,[],,,,,,
it business analyst clinical development,Data Analyst,Regular,,,,Cataluña,Sin descripción,[],,,,,,
senior analyst risk and compliance,Data Analyst,Senior,,,Governance,Cataluña,Sin descripción,[],,,,,,
ai tech security compliance specialist,Data Specialist,Regular,,,Governance,Cataluña,Sin descripción,"['Remote work option Home office setup allowance Language classes Flexible benefits Health Insurance Collective Retirement Plan Referral bonus Employee discounts Events and activities No dress code', ' A I Governance Cloud Technologies M L Ops Programming Analytical Skills Communication Skills Problem-solving Skills Distributed Computing', "" Bachelor's Degree in Computer Science or related field"", ' Azure A W S']",,,Remote work,,Azure,Bachelor's Degree
sapsuccessfactors business analyst,Data Analyst,Regular,,,,Cataluña,"An established industry player is seeking a skilled SAP/SuccessFactors Business Analyst to join their Global HRIS team. In this role, you will be instrumental in driving projects that enhance HR processes and systems, ensuring that business requirements are met through effective project management and collaboration with stakeholders. This dynamic position offers the chance to work in a hybrid environment, balancing in-office and remote work, while being part of a team that values innovation and excellence. If you're looking to grow your career in a supportive and forward-thinking company, this opportunity is perfect for you.","['Generous paid time off Flexible work arrangements Strong compensation package', ' S A P Success Factors Project Management Data Migration H R Systems Integration G D P R Knowledge Analytical Skills Communication Skills', ' Bachelor’s degree in Information Technology', ' Boomi Integration Center C P I']",,SAP,,,"R, R",
ai tech security compliance specialist,Data Specialist,Regular,,,Governance,Cataluña,Sin descripción,[],,,,,,
hr analyst,Data Analyst,Regular,,,,Cataluña,Sin descripción,[],,,,,,
risk compliance and technical accounting analyst europe,Data Analyst,Regular,,,,Cataluña,Sin descripción,[],,,,,,
business analyst,Data Analyst,Regular,,,,Cataluña,Sin descripción,[],,,,,,
process control specialist logistics analyst eu central flow,Data Analyst,Regular,,,,Cataluña,Sin descripción,[],,,,,,
process control specialist logistics analyst eu central flow,Data Analyst,Regular,,,,Cataluña,Sin descripción,[],,,,,,
salesforce business analyst,Data Analyst,Regular,,,,Cataluña,Sin descripción,[],,Salesforce,,,,
senior product analyst monopoly go,Data Analyst,Senior,,,,Cataluña,Sin descripción,[],,,,,,
trainee business analyst salud zurich,Data Analyst,Regular,,,,Cataluña,Sin descripción,[],,,,,,
sap co consultant,Consultant,Regular,,,,Cataluña,Sin descripción,[],,SAP,,,,
sap ps consultant,Consultant,Regular,,,,Cataluña,Sin descripción,[],,SAP,,,,
business analyst intern,Data Analyst,Intern,,,,Cataluña,Sin descripción,[],,,,,,
business analyst crew hr applicationsflexibel barcelona spanien spanien palma,Data Analyst,Regular,,,,Cataluña,Sin descripción,[],,,,,,
prime business analyst,Data Analyst,Regular,,,,Cataluña,Sin descripción,[],,,,,,
it business analyst,Data Analyst,Regular,,,,Cataluña,Sin descripción,[],,,,,,
it business analyst financial consolidation reporting,Data Analyst,Regular,,,Tax,Cataluña,"Join a forward-thinking organization as an IT Business Analyst focusing on Financial Consolidation and Tax Reporting. In this dynamic role, you'll connect business needs with technical solutions using Oracle EPM, ensuring effective financial performance management. You will analyze existing processes, design enhancements, and support both internal and external audits. This innovative firm values diversity and inclusion, offering a competitive compensation package and a hybrid work culture that promotes work-life balance. If you're driven and collaborative, this position is perfect for you.","['Diversity and Inclusion Competitive Compensation Package Hybrid Work Culture', ' Accounting Financial Reporting Oracle E P M Collaboration Self-motivation', ' Oracle E P M']",,,,Reporting,,
senior analyst center of financial insight,Data Analyst,Senior,,,Finance,Cataluña,"Join a dynamic finance transformation journey at a leading dermatology company! As a Senior Finance Analyst, you will play a crucial role in optimizing financial reporting and processes, driving impactful transformations. Located in the vibrant Eixample District of Barcelona, this position offers exposure to global projects and career opportunities. If you are passionate about streamlining reporting and enhancing financial processes, this is your chance to make a significant impact in a collaborative and inclusive environment. Embrace the opportunity to grow and contribute to a meaningful mission in dermatology!","['Competitive compensation package Bonus structure Extended benefit package Hybrid work culture Personalized career path Diversity and inclusion initiatives', ' Financial Reporting Data Analysis Excel S Q L Tableau Power B I Oracle E R P H F M Interpersonal Skills Detail-oriented', "" Bachelor's degree in Finance Master's degree or C P A/C F A"", ' Excel S Q L Tableau Power B I Oracle E R P H F M']",,,,"Reporting, Data Analysis","Excel, Tableau, R, Excel, Tableau, R","Bachelor's degree, Master's degree"
senior analyst center of financial insight a194,Data Analyst,Senior,,,Finance,Cataluña,"Join a dynamic finance transformation journey with a leading dermatology company as a Senior Finance Analyst. In this pivotal role, you'll drive impactful changes in financial reporting and processes, collaborating with various teams to deliver actionable insights. You'll thrive in a hybrid work culture, contributing to a diverse and inclusive environment where your skills and initiatives are valued. This is an exciting opportunity to make a real impact in a growing organization committed to personal and professional development. If you're passionate about finance and eager to streamline processes, this role is for you!","['Competitive compensation package Bonus structure Extended benefits package Personalized career path Diversity & inclusion initiatives Ownership from day one', ' Data management and reporting Financial reporting and analysis Data modelling Forecasting Excel S Q L Tableau Power B I E R P systems (Oracle & H F M) Interpersonal skills', "" Bachelor's degree in finance, Accounting, Economics Master's degree or C P A/C F A certification"", ' Excel S Q L Tableau Power B I E R P systems (Oracle & H F M)']",,,,"reporting, reporting","Excel, Tableau, R, Excel, Tableau, R","Bachelor's degree, Master's degree"
data analytics account management,Data Analytics,Regular,,,,Cataluña,"An established industry player is seeking a Data Analyst & Account Manager to join their dynamic Barcelona team. This role is pivotal in nurturing relationships with strategic clients while leveraging data analytics to drive insights and operational improvements. You will collaborate with various international teams, ensuring a seamless client experience and enhancing service delivery in virtual healthcare. If you possess strong analytical skills, a proactive mindset, and a passion for making a difference in healthcare, this opportunity is perfect for you. Join a forward-thinking company that values diversity and aims to transform healthcare access globally.","[' Analytical skills Attention to detail Proactivity Strong interpersonal skills Communication skills Critical thinking Innovative thinking Ability to adapt', ' Degree in Business or related field', ' Microsoft Excel Analytics software']",,Analytics,,,Excel,
data analytics account management,Data Analytics,Regular,,,,Cataluña,"Join a forward-thinking company that leads the way in virtual healthcare solutions! As a Data Analyst & Account Manager, you will play a pivotal role in enhancing client relationships and driving operational improvements through data insights. This dynamic position offers the opportunity to collaborate with international teams, ensuring that you are at the forefront of transforming healthcare access. If you are passionate about making a difference and thrive in a fast-paced, innovative environment, this role is the perfect fit for you. Embrace the chance to work with a diverse team and contribute to impactful projects that truly matter.","[' Analytical skills Attention to detail Proactivity Autonomy Communication skills Critical thinking Ability to adapt', ' Degree in Business or related field', ' Microsoft Excel Analytics software']",,Analytics,,,Excel,
security analyst penetration tester barcelona spainremote,Data Analyst,Regular,,,,Cataluña,Sin descripción,[],,,,,,
senior data analyst,Data Analyst,Senior,,,,Cataluña,"Join a leading advertising technology company in the heart of Barcelona as a Senior Data Analyst! This exciting role involves leveraging your expertise in Python and SQL to analyze vast data sets and derive insights that drive product performance and revenue. Collaborate with a dynamic team of professionals and enjoy a great work-life balance with flexible hours and the option to work from home. With a vibrant work environment and numerous perks, this is a fantastic opportunity to make a significant impact in a top mobile ad-tech firm. If you're passionate about data and want to be part of an innovative team, this role is perfect for you.","['Great compensation package Flexible hours Meal vouchers - Ticket Restaurant Monthly gym allowance Linked In Learning Team-building events Rooftop terrace Fun work environment', ' Python S Q L Analytical skills Statistics Microsoft Excel (Power Pivot & Power Query) Communication skills A/B Testing R Superset Power B I', "" Bachelor's Degree in Engineering Master's Degree in Business"", ' Microsoft Excel S Q L Power B I R Superset']",,,Flexible hours,,"Python, Excel, R, Excel, R","Bachelor's Degree, Master's Degree"
g333 it business analyst financial consolidation reporting,Data Analyst,Regular,,,Tax,Cataluña,"Join a forward-thinking company dedicated to advancing dermatology and making a meaningful impact on people's lives. As an IT Business Analyst in Financial Consolidation and Tax Reporting, you will play a crucial role in bridging business needs with technical solutions using Oracle EPM applications. This position offers the opportunity to work in a dynamic environment, engaging with diverse teams while contributing to innovative projects. With a focus on personal growth and collaboration, you will be empowered to take ownership and drive significant change in a company that values diversity and inclusion. Embrace this chance to shape your career while making a difference in the healthcare industry.","['Competitive compensation package Bonus structure Extended benefits package Personalized career path Hybrid work culture', ' Accounting Financial Reporting Oracle E P M Financial Consolidation & Close Cloud (F C C S) Tax Reporting Cloud (T R C S) Enterprise Data Management Cloud (E D M C S) Time Management Collaboration Influencing Skills', "" Bachelor's Degree in Finance or Accounting Relevant Certifications (e.g., C P A)"", ' Oracle E P M Applications Microsoft Office Suite']",,,,"Reporting, Reporting",R,Bachelor's Degree
creatives design analyst,Data Analyst,Regular,,,,Cataluña,"An innovative firm in Barcelona is seeking a creative and motivated individual to join their team as a Creatives Design Analyst. This exciting full-time role involves designing and coding interactive mobile ads that will elevate clients' advertising campaigns. You'll have the opportunity to work in a vibrant environment filled with talented marketers from diverse backgrounds. With a focus on creativity and collaboration, this position promises to be both challenging and rewarding. If you're passionate about graphic design and eager to learn, this role offers a fantastic opportunity to grow your skills and make a real impact in the mobile advertising landscape.","['Free daily breakfast Meal vouchers Flexible working hours Company laptop Gym membership Team building events Friendly work environment', ' Graphic Design H T M L M R A I D V A S T Conversational English Motivation to Learn']",,,,,R,
business analyst,Data Analyst,Regular,,,,Cataluña,"An innovative multinational company in the E-Commerce sector is seeking a talented Business Analyst to join their dynamic team in sunny Barcelona. This role offers the chance to work in a multicultural environment, where creativity and analytical skills are valued. You will be responsible for analyzing data to support business decisions and collaborating with diverse teams using Agile methodologies. With flexible working hours and a competitive salary plus bonus scheme, this opportunity promises personal and professional growth while keeping you at the forefront of industry trends. If you are passionate about software testing and eager to learn, this position is perfect for you.","['Competitive salary Bonus scheme Flexible working hours Multicultural environment Awesome corporate culture Modern offices in city centre', ' Analytical skills Creativity Problem-solving skills Teamwork Communication skills Fluency in English (B2 level) Knowledge of programming languages (J A V A) Agile methodology', "" Degree in Business Degree in Marketing Degree in Economics Master's degree (or M B A)"", ' Google Analytics Tableau']",,,,,"Google Analytics, Tableau",Master's degree
business applications processes analyst,Data Analyst,Regular,,,,Cataluña,"Una innovadora universidad busca un/a Business Applications & Processes Analyst apasionado/a por transformar el sector educativo. En esta posición, serás clave en la documentación y análisis de procesos, gestionando proyectos y colaborando con diversos stakeholders. Se ofrece un entorno de trabajo flexible y la oportunidad de crecer profesionalmente a través de formación continua. Con un enfoque en la mejora de procesos y un fuerte compromiso con la excelencia, tendrás la oportunidad de marcar una diferencia significativa en la comunidad educativa. Si te entusiasma el cambio y la innovación, esta es tu oportunidad.","['Flexibilidad horaria40 días laborables de vacaciones Desarrollo profesional Parking para el personal Jornada intensiva en julio', ' Análisis funcional Gestión de proyectos Documentación de procesos Habilidades interpersonales Modelado de procesos Conocimiento de C R M y L M S Resolución de problemas', ' Grado universitario en administración de empresas, economía, informática o ingeniería', ' Moodle Salesforce Sigma Docuware']",,,,,R,Grado
entrylevel salesforce technical support analyst,Data Analyst,Regular,,,,Cataluña,"An exciting opportunity awaits as an Entry-level Salesforce Technical Support Analyst in a dynamic retail environment. This role offers a unique chance to kickstart your career in Salesforce, with comprehensive training provided. You will engage in problem-solving, user support, and system optimization while enjoying a hybrid work model that allows for flexibility. The company values proactive and motivated individuals eager to learn and grow within the Salesforce ecosystem. With competitive salary and fringe benefits, this position is ideal for those looking to make a significant impact in a respected business software platform.","['Company Laptop Health Insurance Gym Discounts Annual Performance Reviews23 Holidays/Year Restaurant Tickets', ' Salesforce Administration Salesforce Development Technical Support Communication Skills Organizational Skills Teamwork Problem Solving', ' Salesforce Certification', ' Ticketing Tools']",,Salesforce,,Problem Solving,,
it business analyst financial consolidation reporting,Data Analyst,Regular,,,Tax,Cataluña,"Join a forward-thinking company as an IT Business Analyst in Barcelona, where your expertise in financial consolidation and tax reporting will drive impactful solutions. In this dynamic role, you will connect business needs with technical capabilities, working closely with finance leaders and IT teams to enhance operational processes. Embrace the opportunity to thrive in a hybrid work culture that values diversity and personal growth. Contribute to a meaningful mission in dermatology while enjoying a competitive compensation package and a supportive work environment that empowers you to excel in your career.","['Competitive compensation package Bonus structure Extended benefit package Diversity & inclusion initiatives Personalized career path Empowerment from day one', ' Accounting Financial Reporting Oracle E P M Financial Consolidation & Close Cloud (F C C S) Tax Reporting Cloud (T R C S) Enterprise Data Management Cloud (E D M C S) Time Management Collaboration Influencing Skills Adaptability', "" Bachelor's Degree in Finance or Accounting Master's Degree in Finance"", ' Oracle E P M Microsoft Excel Project Management Tools']",,,,"Reporting, Reporting","R, Excel","Bachelor's Degree, Master's Degree"
snr specialist it business analyst regulatory affairs,Data Analyst,Regular,,,,Cataluña,Sin descripción,[],,,,,,
assoc director business analyst global clinical operations,Data Analyst,Regular,,,,Cataluña,Sin descripción,[],,,,,,
assoc director business analyst technical research development,Data Analyst,Regular,,,,Cataluña,Sin descripción,[],,,,,,
senior data analyst data,Data Analyst,Senior,,,Digital,Cataluña,Sin descripción,[],,,,,,
analyst,Data Analyst,Regular,,,Digital,Cataluña,"An innovative firm is seeking a Digital Analyst to enhance their analytical capabilities. In this role, you will develop and maintain dashboards, optimize campaign measurements, and ensure accurate channel attribution. You will work with various analytical tools to track performance and propose improvements. Your contributions will play a crucial role in driving data-driven decisions within a welcoming and inclusive environment. This position offers flexibility with a hybrid work model and numerous employee perks, making it an exciting opportunity for those passionate about digital analytics and seeking to make a significant impact in a dynamic industry.","['Permanent contract Flex schedule Gift A I R E experience on your birthday30% discount on all services Employee discount for private health insurance Welcoming and inclusive working environment', ' Google Analytics 4 (G A4) Google Tag Manager Crazy Egg S E Mrush Looker Studio Tableau Power B I Python I F T T T', ' Academic background in digital analytics Professional experience in dashboard creation', ' Hotjar Mouseflow Search Console Supermetrics']",,,,,"R, Google Analytics, Tableau, Python",
data analyst in ml team,Data Analyst,Regular,,,,Cataluña,"An innovative firm is seeking a talented Data Analyst to join their dynamic ML Vector team in Barcelona. This role offers a unique opportunity to analyze complex data sets, generate actionable insights, and collaborate with a diverse team of professionals. You will be responsible for enhancing data infrastructure, performing statistical analysis, and validating machine learning models. If you are passionate about making an impact in the mobile app industry and enjoy tackling exciting challenges, this position is perfect for you. Join a company that values continuous learning and growth while enjoying the journey of creating successful mobile app businesses.","[' Data Analysis Python (Pandas, Numpy) S Q L Machine Learning Concepts A/B Testing Statistical Analysis Data Cleaning Communication Skills', "" Bachelor's Degree in Data Science or related field"", ' Py Spark Databricks Snowflake']",,,,"Data Analysis, Machine Learning, Statistical Analysis, Data Science","Python, Databricks, Snowflake",Bachelor's Degree
wfm senior real time analyst,Data Analyst,Senior,,,,Cataluña,"An exciting opportunity awaits you at a prominent company in Barcelona! As a WFM Senior Real Time Analyst, you'll play a crucial role in monitoring and analyzing operational performance while ensuring service level agreements are met. This dynamic position offers the chance to work in a thriving environment, where your contributions will directly impact the team's success. You'll collaborate with a multicultural team, enjoy a modern workspace, and have access to numerous perks, including private health insurance and relocation assistance. If you're ready to take your career to the next level, this role is perfect for you!","['Relocation assistance Sign in bonus of 1.000€Private health insurance Daily meal allowance Regular fruit deliveries Free drinks Partnerships with fitness centers Comfortable leisure areas Opportunities for yoga and meditation Fun floor with Play Station and table tennis', ' Call Center Operations Customer Service Real Time Analysis Communication Skills Decision-making Skills', ' Bachelor’s degree or equivalent', ' Google Suite M S Office']",,,,,,
it business analyst clinical development,Data Analyst,Regular,,,,Cataluña,"Join a forward-thinking company as an IT Business Analyst in Clinical Development, where you will play a crucial role in bridging IT and clinical research. This position offers the opportunity to work on innovative projects that impact clinical trial processes and enhance technology solutions. You will collaborate with diverse teams, ensuring that the systems in place support the clinical development needs effectively. With a commitment to personal growth and professional development, this role provides a unique chance to make a meaningful impact in the dermatology field while working in a vibrant location like Barcelona.","['Professional Development Opportunities Exposure to Global Projects Collaborative Work Environment', ' I T Business Analysis Clinical Development Knowledge Requirements Gathering Electronic Data Capture (E D C) Clinical Trial Management Systems (C T M S) Team Collaboration', "" Bachelor's Degree in I T or related field Experience in Clinical Research"", ' E D C Systems e T M F Systems C T M S Software']",,,,,,Bachelor's Degree
assoc director business analyst technical research development,Data Analyst,Regular,,,,Cataluña,"Una empresa innovadora busca un Director Asociado de Análisis de Negocios para transformar requisitos comerciales en soluciones IT efectivas. En este rol, serás un asesor clave, guiando la mejora de procesos globales y colaborando con líderes empresariales para ofrecer recomendaciones basadas en datos. Con más de 10 años de experiencia en la industria farmacéutica o IT, tu experiencia en análisis de procesos y sistemas de laboratorio será fundamental para asegurar que las soluciones sean seguras, escalables y flexibles. Si eres un pensador estratégico con habilidades en gestión de proyectos y un enfoque en la innovación digital, esta es tu oportunidad para marcar la diferencia.","['Plan de pensiones Seguro de vida y accidentes Comidas o asignación en la oficina Horarios flexibles', ' Análisis de procesos de negocio Arquitectura de sistemas Conocimiento de G X P Conocimiento de sistemas de laboratorio (L I M S) Gestión de proyectos Colaboración en equipos globales Resolución de conflictos Innovación digital', ' Título universitario en Informática Título universitario en Ciencias de la Computación Título universitario en Ciencias de la Vida', ' Sistemas L I M S Sistemas de cromatografía']",,,,,,
senior data analyst,Data Analyst,Senior,,,Marketing,Cataluña,"Join a dynamic team as a Senior Marketing Data Analyst at a leading Chat Marketing platform. This role offers the opportunity to shape the marketing analytics domain from the ground up, collaborating closely with the Chief Marketing Officer. You will dive deep into user journeys, develop marketing data roadmaps, and drive data-driven decision-making across teams. With a commitment to your growth and well-being, this innovative firm provides a flexible work environment and a variety of perks tailored to your needs. If you're passionate about marketing analytics and ready to make an impact, this is the perfect opportunity for you.","['Professional development budget Flexible benefits plan Health insurance Hybrid work format', ' Marketing Analytics S Q L Python B I Tools Mathematical Statistics Hypothesis Testing Attention to Detail Analytical Skills', "" Bachelor's Degree in Marketing or related field Master's Degree (preferred)"", ' Data Visualization Tools Statistical Software']",,,,Data Visualization,Python,"Bachelor's Degree, Master's Degree"
broadcom market analyst,Data Analyst,Regular,,,,Cataluña,"An established industry player is seeking a Broadcom Market Analyst to join their dynamic team in Barcelona. This exciting role offers the opportunity to maintain market intelligence and conduct in-depth research on industry trends and competitor behavior. You will collaborate closely with marketing, sales, and product development teams to inform strategic decision-making. The company's unique blend of start-up culture and multinational structure fosters an environment that values initiative and tenacity. If you're passionate about market analysis and thrive in a collaborative setting, this position could be your next big career move.","[' Data Analysis Market Research Analytical Skills Communication Skills Team Collaboration Statistical Methods', "" Master's Degree in Management or Finance"", ' Excel S P S S Tableau']",,,,Data Analysis,"Excel, Tableau",Master's Degree
ad operations analyst vas,Data Analyst,Regular,,,,Cataluña,"Join a forward-thinking company as a Programmatic Campaign Analyst, where you'll leverage your analytical expertise and Microsoft Excel skills to drive impactful mobile advertising strategies. In this full-time role based in vibrant Barcelona, you'll work closely with a dynamic team to optimize campaigns and enhance the Smadex platform. Your insights will directly influence revenue-generating decisions, making this position essential for the company's success. If you're passionate about data and eager to contribute to a leading ad-tech firm, this is the perfect opportunity to elevate your career in a fast-paced environment.","[' Microsoft Excel Data Analysis Communication Skills Analytic Methodologies Digital Programmatic Buying S Q L Python R', "" Bachelor's Degree in Engineering Bachelor's Degree in Business Bachelor's Degree in Economics Bachelor's Degree in Marketing Master's Degree in Engineering Master's Degree in Business Master's Degree in Economics Master's Degree in Marketing"", ' Smadex Platform Data Analysis Tools']",,,,"Data Analysis, Data Analysis","Excel, Python, R","Bachelor's Degree, Bachelor's Degree, Bachelor's Degree, Bachelor's Degree, Master's Degree, Master's Degree, Master's Degree, Master's Degree"
legal content analyst,Data Analyst,Regular,,,,Cataluña,"Join a forward-thinking company as a Legal Content Analyst in Barcelona, where your expertise in law and fluency in multiple languages will be valued. This role offers the opportunity to work with a global team, analyzing and curating important IP case law data. You'll play a crucial part in enhancing data discoverability and ensuring high-quality records. With a commitment to innovation and a supportive work environment, this position promises not only professional growth but also a chance to contribute to meaningful projects that impact the world of intellectual property. Embrace the challenge and make a difference in a vibrant city!","['Private Health Insurance Life & Disability insurance30 working days of vacation Language classes (Catalan, Spanish, English)Active volunteering community Tax-free benefits (Ticket Restaurant scheme)Modern culture environment', ' Fluency in English Fluency in German Fluency in Polish Knowledge of I P Law Analytical skills', ' Bachelor’s Degree in Law']",,,,,,
senior qa analyst,Data Analyst,Senior,,,,Cataluña,"Join an innovative gaming company as a Senior QA Analyst, where you'll take ownership of quality across exciting game projects. This role involves developing test strategies, mentoring junior team members, and ensuring the highest quality standards in mobile gaming. You'll work in a dynamic environment that values creativity and efficiency, contributing to the success of live-supported games. With a hybrid work model, you will enjoy the flexibility of working from home while also having access to state-of-the-art office facilities in Barcelona. If you're passionate about quality assurance in gaming and eager to make an impact, this opportunity is perfect for you.","['25 days annual leave Private medical insurance Monthly meal allowance Free language lessons Training budget Gym facilities Onsite physiotherapist Onsite hairdressers Relocation support Latest I O S or Android device', ' Q A Expertise Test Planning Communication Skills Project Management Mobile Gaming Knowledge J I R A & Test Rail Coaching and Mentoring Live Ops Experience', ' I S T Q B/I S E B Foundation Certification', ' J I R A Test Rail Xcode Visual Studio Android S D K Unity Unreal G I T']",,,,,"R, R",
senior data analyst,Data Analyst,Senior,,,Marketing,Cataluña,Sin descripción,"['Professional Development Budget Flexible Benefits Plan Health Insurance Psychology Sessions Nutrition Consultations Travel Assistance', ' Marketing Analytics S Q L Python Business Intelligence Tools Mathematical Statistics Attention to Detail']",,,,Business Intelligence,Python,
junior qa analyst,Data Analyst,Junior,,,,Cataluña,Sin descripción,[],,,,,,
junior data analyst based in barcelona,Data Analyst,Junior,,,Finance,Cataluña,Sin descripción,[],,,,,,
corporate compliance senior analyst,Data Analyst,Senior,,,Tax,Cataluña,"Join a dynamic team as a Corporate Tax Compliance Senior Analyst, where you will play a vital role in ensuring tax compliance and reporting accuracy. This position offers the opportunity to work in a hybrid environment, balancing professional growth with personal well-being. You will be responsible for preparing tax returns, coordinating with local tax teams, and ensuring adherence to best practices. An established industry player offers a supportive culture with a focus on continuous improvement and innovation, making it an exciting opportunity for those passionate about tax compliance and eager to contribute to a world-class function.","['Competitive salary Comprehensive social benefits Pension plan Health insurance Flexible remuneration Restaurant card Mobility plan Ongoing training Dog-friendly campus Recreation activities', ' Corporate Tax Compliance Tax Research Attention to Detail Continuous Improvement Coordination Skills', ' C P A A C C A', ' S A P']",,,,,,
business analyst hf hibrido,Data Analyst,Regular,,,,Cataluña,"Une entreprise dynamique recherche un Business Analyst passionné pour rejoindre son équipe en mode hybride. Dans ce rôle, vous serez au cœur de projets informatiques pour le secteur financier, principalement dans le domaine de l'assurance. Vous travaillerez en étroite collaboration avec des développeurs et des architectes, tout en adoptant une approche Agile pour résoudre des problèmes complexes. Avec des horaires flexibles et un environnement de travail stimulant, cette opportunité vous permettra de développer vos compétences et de contribuer à des projets significatifs. Si vous êtes prêt à relever des défis et à faire avancer votre carrière, cette position est faite pour vous.","[""Horaires de travail flexibles Plan de carrière défini Budget de formation Accès à une plateforme de formation en ligne Coaching interne Programme de volontariat Activités de renforcement de l'esprit d'équipe Bureaux confortables en centre-ville Prise en charge à 100% de votre pass Navigo"", "" Agile Jira Analyse business Tests d'Acceptation des Utilisateurs Créativité Esprit d'analyse Maîtrise de l'anglais (B2) Maîtrise du français (C1)"", ' Diplôme bac +5 en Business consulting Diplôme en Digital transformation']",,,,,,
d585 lead data analyst,Data Analyst,Lead,,,,Cataluña,"Join a forward-thinking company as a Lead Data Analyst and help transform how sports data is captured and analyzed. In this role, you will leverage your expertise in SQL and Tableau to drive insights that fuel growth objectives across Sales, Marketing, and Product teams. You'll collaborate with various stakeholders, mentor team members, and contribute to a culture that values autonomy and professional development. This innovative firm is committed to creating an inclusive environment where every team member can thrive and make a lasting impact in the sports industry. If you're passionate about data and eager to grow, this opportunity is perfect for you.","['Flexible Vacation Time Company-wide Holidays Remote Work Options Employee Assistance Program Medical Benefits Retirement Benefits', ' S Q L Tableau Data Analysis Advanced Analytics Techniques Communication Skills']",,,Remote Work,Data Analysis,Tableau,
business analyst product owner barcelona,Data Analyst,Regular,,,eCommerce,Cataluña,"Una empresa innovadora busca un Business Analyst/Product Owner apasionado por la tecnología y la sostenibilidad. En este rol, tendrás la oportunidad de unirte a una unidad de Cloud & Custom Applications, donde trabajarás junto a más de 1.700 profesionales en un ambiente inclusivo y diverso. La flexibilidad y el equilibrio entre la vida personal y profesional son fundamentales en esta compañía, que se enorgullece de su ética y compromiso con la diversidad. Si buscas un lugar donde tus habilidades sean valoradas y puedas contribuir al futuro que deseas, esta es la oportunidad perfecta para ti.","['Flexibilidad laboral Beneficios fiscales Programas de conciliación Oportunidades de desarrollo profesional', ' Business Analysis Product Ownership Cloud Technologies Custom Applications', ' Licenciatura en Administración de Empresas Certificación en Análisis de Negocios', ' Herramientas de gestión de proyectos Software de análisis de datos']",,,,,,Licenciatura
assoc director business analyst global clinical supply,Data Analyst,Regular,,,,Cataluña,"An established industry player seeks a seasoned Business Analyst to enhance global business processes in a dynamic environment. This role involves engaging with leaders to deliver data-driven recommendations and ensure effective solutions are designed and implemented. With a focus on the pharmaceutical industry, you will utilize your extensive experience to influence and guide improvements across various services. If you are a self-starter with a knack for analytical thinking and a passion for driving efficiency, this opportunity is perfect for you. Join a team where your contributions will have a meaningful impact on global operations.","[' Business Analysis Data Analysis User Requirements Gathering Documentation Techniques Change Management Interpersonal Skills Analytical Skills Testing / Computer System Validation', ' University degree in Informatics or Computer Sciences Equivalent experience in business or similar', ' S4/H A N A Kinaxis Rapid Response Prisym360 I R T systems']",,,,Data Analysis,R,
y395 external scheduling distribution analyst,Data Analyst,Regular,,,,Cataluña,"Una empresa consultora innovadora en Barcelona busca un Analista de Programación y Distribución Externa para el sector aeronáutico. Este rol crucial implica colaborar con el equipo de programación para asegurar la correcta publicación de horarios y gestionar la planificación de programas de vuelo. Se requiere un perfil analítico, con habilidades de comunicación y capacidad para trabajar bajo presión. Ofrecemos un entorno laboral híbrido, un contrato indefinido y beneficios como seguro médico privado y apoyo en el desarrollo profesional. ¡Únete a nosotros y forma parte de un equipo dinámico!","['Contrato indefinido Desarrollo personal y profesional Seguro médico privado Pago de exámenes de certificación Pago parcial de cursos de I T/Data Clima laboral excelente', ' Análisis de datos Comunicación efectiva Resolución de problemas Adaptabilidad', ' Grado en ingeniería Grado en economía', ' Microsoft Excel Microsoft Power Point Sistemas de distribución de vuelos']",,,,,Excel,"Grado, Grado"
salesforce analyst,Data Analyst,Regular,,,,Cataluña,"Join a dynamic global IT company as a Salesforce Analyst, where you will play a key role in enhancing sales processes and data management. This innovative firm is dedicated to developing its product for digital marketers and thrives in a fast-paced, collaborative environment. You will work closely with cross-departmental teams to implement and improve business capabilities, ensuring the highest quality of commercial data management. With a hybrid work format, unlimited PTO, and a focus on employee growth, this is an exciting opportunity to make a significant impact in a rapidly growing technology company.","['Unlimited P T O Flexible working hours Breakfast, snacks, and coffee Corporate events Training and courses Hobby benefit Gifts for employees', ' Salesforce Sales Cloud Sales Loft Hubspot Linked In Sales Navigator Declarative programming Data management Problem-solving skills Understanding of Saa S']",,Salesforce,,,,
